species	MMR087	Qdot
Acinonyx_jubatus	8.74830124007254	0.014172865657393
Alligator_mississippiensis	0.815765521201264	0.0037240556809113400
Amphibolurus_barbatus	1.12698168553514	0.0002135289883077690
Bettongia_penicillata	28.2342746518664	0.00107215233612435
Bos_taurus	32.0638926142002	0.040478346802342000
Capra_hircus	72.1907856538394	0.0119236793403783
Chelonia_mydas	2.80689437464775	0.00195549413508548
Crocodylus_niloticus	0.807481375530305	0.0025412807255923400
Crocodylus_porosus	0.750756459555465	0.016185946402442
Dasyuroides_byrnei	28.0812875007241	0.0001116912055721040
Equus_caballus	28.5025535040495	0.3087116915666230000
Helogale_parvula	15.8978417285681	0.0003174499848207860
Iguana_iguana	0.95303251535066	0.00240473091673887
Isoodon_obesulus	18.7927078671131	0.00106904392951571
Oryctolagus_cuniculus	11.0684873912785	0.000797421985336647
Ovis_aries	10.4964072728115	0.0137344941298343
Papio_hamadryas	16.9168205809446	0.00357494005714677
Potorous_tridactylus	18.4124392449666	0.000297139273335447
Sus_scrofa	7.7701242454402	0.0108601652155792
Tachyglossus_aculeatus	4.05943381791122	0.000471425209794273
Tiliqua_rugosa	1.59217690495254	0.000011462755669097
Tiliqua_scincoides	1.13668363938106	0.000042089189210322
Tupinambis_teguixin	1.87891310985499	0.00129015958228883
Varanus_gouldii	6.25164798257627	0.0019268081690908300
Varanus_mertensi	2.37562650787797	0.00201316213289602
Varanus_panoptes	3.73408309931805	0.00142406533139041
Varanus_salvator	3.47171091422645	0.0125002157312339
Varanus_varius	2.80563810859204	0.000874893152974082
Vulpes_vulpes	33.7984692465814	0.0035914413203728500
Dromaius_novaehollandiae	4.63257387231511	0.0024803779844922400
Anas_sp	9.31423233247067	0.0003837998262485360
Eudyptula_minor	8.58634247525685	0.0002426793413546960
Pelecanus_conspicillatus	9.43930881425757	0.0048546309559125800
Phalacrocorax_sp	4.18162031075429	0.0010303771972658800
Haliaeetus_leucogaster	2.24988829654061	0.0022106243985970400
Corvus_sp	31.2218023197017	0.0003544210693340440
Hirundo_sp	16.7731405158369	0.0000047556876441075
Coturnix_sp	19.5757199913853	0.0001291329160071350
Calidris_sp	18.6995285291915	0.0000139557348642950
Sterna_sp	7.26188753485519	0.0000266502816245079
Sturnus_vulgaris	10.3969196701712	0.0000583227916549878
Larus_sp	4.97899279327589	0.0001637560397672130
Plegadis_falcinellus	3.85360606112276	0.0005519098814194590
Halszkaraptor_escuilliei	NA	0.0010119424510185700
Rhamphorhynchus_sp	NA	0.0017358374037659300
